file,bpm,key,tag_written,error
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/07. Mustard Green feat. Que Dawg & DJ Scream.mp3,107.7,Gm,True,
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/06. Rari Pedal feat. King Hendrick$.mp3,107.7,Am,True,
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/10. Takeover the World feat. Babyface Ray.mp3,129.2,Am,True,
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/05. Hoodrich Freestyle feat. Lil Double 0.mp3,129.2,Em,True,
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/02. Just Saying Tho feat. Curren$y & Babyface Ray.mp3,129.2,Bb,True,
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/09. Sunday Service feat. Bally Baby.mp3,143.6,Dm,True,
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/08. Stay on Green feat. Babyface Ray.mp3,143.6,Em,True,
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/14. No Condom feat. Key Glock.mp3,161.5,F#m,True,
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/12. Tokyo Nights feat. CEO Trayle.mp3,123.0,G#m,True,
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/01. Facts feat. Key Glock.mp3,117.5,Dm,True,
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/04. California feat. Bally Baby.mp3,95.7,F#,True,
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/03. Kirk Frank (Interlude) feat. Babyface Ray.mp3,152.0,Bb,True,
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/13. Milan feat. Babyface Ray.mp3,143.6,C,True,
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/11. Birdman feat. King Hendrick$ & DJ Scream.mp3,136.0,Gm,True,
J Dilla (2006) HHIR - Donuts [The Samples]/42 The Three Degrees - Maybe.mp3,143.6,Am,True,
J Dilla (2006) HHIR - Donuts [The Samples]/38 The Trammps - Rubber Band.mp3,99.4,C#m,True,
J Dilla (2006) HHIR - Donuts [The Samples]/43 The Isley Brothers - Don't Say Goodnight (It's Time for Love) (Parts 1 & 2).mp3,50.7,Eb,True,
J Dilla (2006) HHIR - Donuts [The Samples]/02 10cc - The Worst Band in the World.mp3,152.0,Bbm,True,
J Dilla (2006) HHIR - Donuts [The Samples]/31 The Sylvers - Only One Can Win.mp3,152.0,Bbm,True,
J Dilla (2006) HHIR - Donuts [The Samples]/47 Brenton Wood - Gimme Little Sign.mp3,112.3,F#m,True,
J Dilla (2006) HHIR - Donuts [The Samples]/20 Jackson 5 - All I Do Is Think of You.mp3,123.0,F#m,True,
J Dilla (2006) HHIR - Donuts [The Samples]/44 The Moments - To You With Love.mp3,136.0,Cm,True,
J Dilla (2006) HHIR - Donuts [The Samples]/18 Frank Zappa - Dance Contest.mp3,136.0,Fm,True,
J Dilla (2006) HHIR - Donuts [The Samples]/48 Syl Johnson - Different Strokes.mp3,107.7,Bb,True,
J Dilla (2006) HHIR - Donuts [The Samples]/37 Luther Ingram - To the Other Man.mp3,68.0,A,True,
J Dilla (2006) HHIR - Donuts [The Samples]/10 James Brown - My Thang.mp3,99.4,Em,True,
J Dilla (2006) HHIR - Donuts [The Samples]/04 Beastie Boys - The New Style.mp3,99.4,G#m,True,
J Dilla (2006) HHIR - Donuts [The Samples]/07 10cc - Johnny Don't Do It.mp3,103.4,Dm,True,
J Dilla (2006) HHIR - Donuts [The Samples]/12 Dionne Warwick - You're Gonna Need Me.mp3,83.4,Bbm,True,
J Dilla (2006) HHIR - Donuts [The Samples]/03 Mantronix - King of the Beats.mp3,107.7,C#m,True,
J Dilla (2006) HHIR - Donuts [The Samples]/34 The Jimi Entley Sound - Charlie's Theme.mp3,172.3,Bb,True,
J Dilla (2006) HHIR - Donuts [The Samples]/06 Malcolm McLaren - Buffalo Gals.mp3,107.7,Em,True,
J Dilla (2006) HHIR - Donuts [The Samples]/30 Smokey Robinson & The Miracles - A Legend in Its Own Time.mp3,172.3,D,True,
J Dilla (2006) HHIR - Donuts [The Samples]/17 Galt MacDermot - Golden Apples (Part II).mp3,112.3,Am,True,
J Dilla (2006) HHIR - Donuts [The Samples]/36 Martha Reeves - Sweet Misery.mp3,95.7,Fm,True,
J Dilla (2006) HHIR - Donuts [The Samples]/08 B.R. Gunna - Do Ya Thing.mp3,95.7,F#m,True,
"J Dilla (2006) HHIR - Donuts [The Samples]/27 The Temptations - Cloud Nine (Motortown Revue Live, 1969).mp3",136.0,Gm,True,
J Dilla (2006) HHIR - Donuts [The Samples]/45 Gene Chandler - Rainbow '65 (Live).mp3,161.5,D#m,True,
J Dilla (2006) HHIR - Donuts [The Samples]/01 Shuggie Otis - Not Available.mp3,103.4,Bb,True,
J Dilla (2006) HHIR - Donuts [The Samples]/22 L.V. Johnson - I Don't Really Care.mp3,78.3,Cm,True,
