file,artist,title,format,bitrate_kbps,sample_rate_hz,channels,length_sec,bpm,key,missing_bpm,missing_key,error
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/07. Mustard Green feat. Que Dawg & DJ Scream.mp3,Hoodrich Keem,Mustard Green feat. Que Dawg & DJ Scream,MP3,320,44100,2,100.66219954648525,,,True,True,
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/06. Rari Pedal feat. King Hendrick$.mp3,Hoodrich Keem,Rari Pedal feat. King Hendrick$,MP3,320,44100,2,130.32995464852607,,,True,True,
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/10. Takeover the World feat. Babyface Ray.mp3,Hoodrich Keem,Takeover the World feat. Babyface Ray,MP3,320,44100,2,162.46743764172336,,,True,True,
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/05. Hoodrich Freestyle feat. Lil Double 0.mp3,Hoodrich Keem,Hoodrich Freestyle feat. Lil Double 0,MP3,320,44100,2,177.2218820861678,,,True,True,
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/02. Just Saying Tho feat. Curren$y & Babyface Ray.mp3,Hoodrich Keem,Just Saying Tho feat. Curren$y & Babyface Ray,MP3,320,44100,2,213.53467120181406,,,True,True,
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/09. Sunday Service feat. Bally Baby.mp3,Hoodrich Keem,Sunday Service feat. Bally Baby,MP3,320,44100,2,110.05324263038548,,,True,True,
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/08. Stay on Green feat. Babyface Ray.mp3,Hoodrich Keem,Stay on Green feat. Babyface Ray,MP3,320,44100,2,204.0081179138322,,,True,True,
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/14. No Condom feat. Key Glock.mp3,Hoodrich Keem,No Condom feat. Key Glock,MP3,320,44100,2,132.05392290249432,,,True,True,
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/12. Tokyo Nights feat. CEO Trayle.mp3,Hoodrich Keem,Tokyo Nights feat. CEO Trayle,MP3,320,44100,2,98.66031746031746,,,True,True,
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/01. Facts feat. Key Glock.mp3,Hoodrich Keem,Facts feat. Key Glock,MP3,320,44100,2,146.48421768707482,,,True,True,
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/04. California feat. Bally Baby.mp3,Hoodrich Keem,California feat. Bally Baby,MP3,320,44100,2,122.54793650793651,,,True,True,
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/03. Kirk Frank (Interlude) feat. Babyface Ray.mp3,Hoodrich Keem,Kirk Frank (Interlude) feat. Babyface Ray,MP3,320,44100,2,64.37909297052154,,,True,True,
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/13. Milan feat. Babyface Ray.mp3,Hoodrich Keem,Milan feat. Babyface Ray,MP3,320,44100,2,120.4885260770975,,,True,True,
Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/Hoodrich Keem - Slurred Words  Rap  Hip-Hop  (2026) 320_kbps Beats⭐/11. Birdman feat. King Hendrick$ & DJ Scream.mp3,Hoodrich Keem,Birdman feat. King Hendrick$ & DJ Scream,MP3,320,44100,2,155.47834467120182,,,True,True,
Common feat. John Legend/Black America Again/13 Rain.flac,Common feat. John Legend,Rain,FLAC,10443,44100,2,248.56684807256235,114.0,B,False,False,
Common feat. John Legend/Black America Again/13 Rain_1.flac,Common feat. John Legend,Rain,FLAC,10443,44100,2,248.56684807256235,114.0,B,False,False,
